autor_nombre,total_articulos,total_palabras,palabras_unicas
Elsa García de Blas,1,968,421
J. J. Gálvez,2,1184,539
El País,12,4254,1727
Iñigo Domínguez,1,1631,646
Carles Geli,1,1617,714
Reyes Rincón,1,809,338
Juan Navarro,1,809,338
Pablo Linde,1,954,428
Juan José Mateo,1,1157,498
Alfonso L. Congostrina,1,770,372
Miguel González,1,486,241
Álvaro Sánchez,1,421,236
Mariano Ahijado,1,1046,465
Gregorio Belinchón,1,79,64
Daniel Díez Martínez,1,1281,634
Iván Romero,1,691,359
?,2,706,350
Xavier Vidal-Folch,1,53,48
Irene Vallejo,1,118,82
Enrique Gil Calvo,1,82,60
Josep Maria Fradera,1,115,83
Montserrat Domínguez,1,3391,1250
Juan Miguel Hernández Bonilla,1,910,435
Pablo Guimón,1,90,70
Guillermo Altares,1,1149,541
Miguel Ángel Criado,1,91,71
Cristina Saldaña,1,691,349
Manuel Ansede,1,1244,513
Daniel Lara,1,800,368
Caridad Bermeo,1,800,368
Paloma Almoguera,1,849,380
Natalia Sancha,1,1438,583
Ángeles Espinosa,1,687,369
Carla Jiménez,1,1105,509
Regiane Oliveira,1,1105,509
Ginés Donaire,1,649,331
José María Brunet,1,638,278
Kiko Llaneras,1,830,339
Marta Rodríguez,1,808,381
Clara Blanchar,1,842,386
Íñigo de Barrón,1,666,291
Lluís Pellicer,2,1271,601
EP,1,247,138
Javier Salvatierra,1,950,386
Clemente Álvarez,1,1612,668
Pablo Tosco,1,1075,570
Jordi Pérez Colomé,1,94,68
Nuño Domínguez,1,685,344
Jaime Santirso,1,93,74
Josep Massot,1,87,66
Jesús Ruiz Mantilla,1,590,332
Vicente G. Olaya,1,82,66
Ramon Besa,1,773,378
Alejandro Ciriza,3,2077,883
Álvaro P. Ruiz de Elvira,2,700,353
Rubén Romero Santos,1,725,377
Maite Morate,1,653,315
Pilar Jericó,1,631,337
Anatxu Zabalbeascoa,1,929,463
Eva Bailén,1,108,82
M.S.,1,516,286
Daniel Muela,1,1173,552
Laura Pajuelo,1,1585,585
J. I. Mota,1,1120,534
Olga Carmona,1,740,375
Mar Rocabert Maltas,1,1050,501
Gloria Crespo MacLennan,1,1096,535
Joaquín Estefanía,1,85,66
Juan Sanguino,1,1744,755
Victoria Zárate,1,2091,885
Nacho Sánchez,1,1266,588
